station,laser_red,laser_blue,frequency,vgg_ste,order,station_id,point_id,full_path,session_date,fg5_file
agad,632.9902738504,632.991255804,9999999.997793032,0.012,first,agad,agad,C:\gData\gProjects\brigade_4\first_order\agad\agad,20230721,C:\gData\gProjects\brigade_4\first_order\agad\agad\absolute\20230721\raw\agad_20230721.fg5
aksa,632.9902745592,632.9912557308,9999999.997630203,0.004,first,aksa,486,C:\gData\gProjects\brigade_4\first_order\aksa\486,20230814,C:\gData\gProjects\brigade_4\first_order\aksa\486\absolute\20230814\raw\486_aksa_2.fg5
aksa,632.9902745592,632.9912557308,9999999.997630203,0.004,first,aksa,486,C:\gData\gProjects\brigade_4\first_order\aksa\486,20230814,C:\gData\gProjects\brigade_4\first_order\aksa\486\absolute\20230814\raw\486_aksa_3.fg5
aksu,632.9902735233,632.9912558377,9999999.997868184,0.002,first,aksu,8406,C:\gData\gProjects\brigade_4\first_order\aksu\8406,20230709,C:\gData\gProjects\brigade_4\first_order\aksu\8406\absolute\20230709\raw\8406_20230709.fg5
akto,632.9902740413,632.9912557843,9999999.997749193,0.057,first,akto,1303,C:\gData\gProjects\brigade_4\first_order\akto\1303,20230728,C:\gData\gProjects\brigade_4\first_order\akto\1303\absolute\20230728\raw\1303_akto.fg5
arka,632.9902739868,632.9912557899,9999999.997761715,0.007,first,arka,1509,C:\gData\gProjects\brigade_4\first_order\arka\1509,20230726,C:\gData\gProjects\brigade_4\first_order\arka\1509\absolute\20230726\raw\1509_arka.fg5
atba,632.9902737687,632.9912558124,9999999.99781182,0.009,first,atba,1080,C:\gData\gProjects\brigade_4\first_order\atba\1080,20230718,C:\gData\gProjects\brigade_4\first_order\atba\1080\absolute\20230718\raw\1080_20230718.fg5
ayag,632.9902734961,632.9912558405,9999999.997874444,0.001,first,ayag,888,C:\gData\gProjects\brigade_4\first_order\ayag\0888,20230708,C:\gData\gProjects\brigade_4\first_order\ayag\0888\absolute\20230708\raw\0888_20230708.fg5
best,632.9902736869,632.9912558209,9999999.997830609,0.039,first,best,mogi,C:\gData\gProjects\brigade_4\first_order\best\mogi,20230715,C:\gData\gProjects\brigade_4\first_order\best\mogi\absolute\20230715\raw\mogi_20230715.fg5
beyn,632.990274641,632.9912557224,9999999.997611417,0.063,first,beyn,110,C:\gData\gProjects\brigade_4\first_order\beyn\110,20230819,C:\gData\gProjects\brigade_4\first_order\beyn\110\absolute\20230819\raw\110_beyn.fg5
