station;order;point;method;station_name;latitude;longitude;elevation;gravity_eff;ste_eff;h_eff;h_eff_plate;setup_height;tie;ste_tie;a;b;ua;ub;covab;gravity;total_uncert;expanded_uncert
akta;zero;27;absolute;Aktau 27;43.73501;51.27807;-9.0;980494727.73;4.58;0.677;0.683;-0.006;;;-294.74;-14.0;4.27;2.98;-12.5;980494933.84;7.95;15.9
kaza;zero;997;absolute;Kazaly 997;45.82645;62.13563;36.0;980663225.85;0.77;0.673;0.683;-0.01;;;-318.11;5.36;1.23;0.85;-1.03;980663437.48;6.06;12.13
koks;zero;738;absolute;Kokshetau 738;53.27468;69.40016;236.9;981280365.03;4.04;0.681;0.683;-0.002;;;-270.26;5.58;1.3;0.9;-1.14;981280546.41;7.25;14.5
koms;zero;1231;absolute;Komsomol'skoe 1231;50.43145;60.49624;258.0;981058050.69;0.75;0.678;0.683;-0.005;;;-291.25;6.09;2.3;1.56;-3.52;981058245.35;6.17;12.34
krgn;zero;47;absolute;Karagandy 47;49.81197;73.07247;496.0;980886136.02;4.13;0.67;0.683;-0.013;;;-319.96;9.62;2.93;2.03;-5.82;980886345.95;7.47;14.95
satp;zero;992;absolute;Satpaev 992;47.90156;67.50225;382.0;980754639.26;6.63;0.663;0.683;-0.02;;;-319.56;3.65;3.58;2.48;-8.7;980754849.47;9.18;18.37
shym;zero;980;absolute;Shymkent 980;42.32345;69.62708;524.0;980144228.42;2.02;0.673;0.683;-0.01;;;-331.23;5.75;2.79;1.94;-5.31;980144448.7;6.52;13.04
talg;zero;1089;absolute;Talgar 1089;43.35567;76.9366;638.0;980132476.0;1.88;0.68;0.683;-0.003;;;-293.66;17.36;2.44;1.68;-4.03;980132667.62;6.42;12.85
talg;zero;1253;absolute;Talgar 1253;43.2905;77.3263;1294.0;979981229.64;1.55;0.668;0.683;-0.015;;;-303.48;8.1;2.32;1.61;-3.67;979981428.62;6.33;12.66
ural;zero;1732;absolute;Ural'sk 1732;51.21107;51.36807;25.0;981137458.98;1.34;0.681;0.683;-0.002;;;-302.84;10.7;1.33;0.92;-1.2;981137660.26;6.17;12.34
;;;;;;;;;;;;;;;-285.98;20.39;4.8;3.29;-15.49;;;
;;;;;;;;;;;;;;;-283.48;8.09;1.73;1.2;-2.03;;;
akta;zero;33;relative;Aktau_33;43.69528;51.36543;;;;;;;-1573.32;1.61;;;;;;980493362.7;8.89;17.79
akta;zero;83;relative;Aktau_83;43.75071;51.11125;;;;;;;1517.38;1.26;;;;;;980496453.4;8.84;17.67
akta;zero;88;relative;Aktau_88;43.52118;51.39354;;;;;;;-15651.09;1.99;;;;;;980479284.93;8.97;17.94
akta;zero;unk9;relative;Aktau_unk9;43.61686;51.3749;;;;;;;-15036.28;2.02;;;;;;980479899.74;8.98;17.95
kaza;zero;903;relative;Kazaly_903;45.83024;62.17929;;;;;;;-216.18;0.6;;;;;;980663219.61;7.32;14.65
kaza;zero;907;relative;Kazaly_907;45.87625;62.13974;;;;;;;7367.39;0.83;;;;;;980670803.65;7.35;14.69
kaza;zero;926;relative;Kazaly_926;45.84975;62.18898;;;;;;;2323.21;0.77;;;;;;980665759.16;7.34;14.68
kaza;zero;962;relative;Kazaly_962;45.84532;62.11916;;;;;;;3327.2;0.65;;;;;;980666763.3;7.33;14.66
koks;zero;24;relative;Kokshetau_24;53.22339;69.28545;;;;;;;-6456.11;2.28;;;;;;981274098.6;8.62;17.23
koks;zero;73;relative;Kokshetau_73;53.2522;69.49284;;;;;;;-7224.7;2.2;;;;;;981273330.02;8.6;17.19
koks;zero;97;relative;Kokshetau_97;53.34119;69.38928;;;;;;;225.66;2.0;;;;;;981280780.37;8.55;17.09
koks;zero;un10;relative;Kokshetau_un10;53.2751;69.40037;;;;;;;-397.3;1.67;;;;;;981280157.41;8.48;16.95
koms;zero;1261;relative;Komsomol'skoe_1261;50.46621;60.51871;;;;;;;1684.35;1.4;;;;;;981059933.66;7.47;14.95
koms;zero;1285;relative;Komsomol'skoe_1285;50.44145;60.33358;;;;;;;-16179.15;1.63;;;;;;981042070.16;7.52;15.04
koms;zero;1305;relative;Komsomol'skoe_1305;50.4216;60.46179;;;;;;;-8833.6;1.95;;;;;;981049415.71;7.6;15.19
koms;zero;un11;relative;Komsomol'skoe_un11;50.41206;60.60315;;;;;;;-20842.76;2.05;;;;;;981037406.55;7.62;15.24
krgn;zero;161;relative;Karagandy_161;49.81062;73.0904;;;;;;;-3125.74;0.9;;;;;;980883218.42;8.47;16.94
krgn;zero;49;relative;Karagandy_49;49.86598;72.99887;;;;;;;19867.71;1.51;;;;;;980906211.81;8.56;17.11
krgn;zero;109;relative;Karagandy_109;49.73036;73.29028;;;;;;;-8063.65;1.73;;;;;;980878280.5;8.6;17.19
krgn;zero;921;relative;Karagandy_921;49.687;73.0161;;;;;;;-24787.46;1.48;;;;;;980861556.69;8.55;17.1
krgn;zero;984;relative;Karagandy_984;49.93073;73.13823;;;;;;;37786.24;1.5;;;;;;980924130.36;8.55;17.11
satp;zero;422;relative;Satpaev_422;47.79425;67.706;;;;;;;-17594.27;0.69;;;;;;980737253.15;9.94;19.89
satp;zero;1304;relative;Satpaev_1304;47.71067;67.73756;;;;;;;-32294.65;0.76;;;;;;980722552.77;9.95;19.9
satp;zero;934;relative;Satpaev_934;47.90024;67.6245;;;;;;;-5206.04;0.73;;;;;;980749641.39;9.95;19.89
satp;zero;937;relative;Satpaev_937;47.963;67.51355;;;;;;;7028.73;0.56;;;;;;980761876.16;9.94;19.87
satp;zero;975;relative;Satpaev_975;47.83039;67.61694;;;;;;;-13167.32;0.58;;;;;;980741680.11;9.94;19.87
satp;zero;un12;relative;Satpaev_un12;47.91298;67.47548;;;;;;;2011.08;0.74;;;;;;980756858.51;9.95;19.89
shym;zero;61;relative;Shymkent_61;42.21312;69.44445;;;;;;;1491.31;1.88;;;;;;980145935.02;7.83;15.66
shym;zero;214;relative;Shymkent_214;42.36024;69.74151;;;;;;;-13374.95;1.74;;;;;;980131068.58;7.8;15.59
shym;zero;1687;relative;Shymkent_1687;42.36203;69.49559;;;;;;;32286.32;2.42;;;;;;980176731.06;7.98;15.95
shym;zero;904;relative;Shymkent_904;42.25157;69.69666;;;;;;;-30964.68;2.06;;;;;;980113479.55;7.87;15.75
shym;zero;917;relative;Shymkent_917;42.18002;69.53706;;;;;;;-6296.78;1.49;;;;;;980138147.0;7.75;15.49
shym;zero;951;relative;Shymkent_951;42.28772;69.80754;;;;;;;-47587.61;2.11;;;;;;980096857.07;7.89;15.78
shym;zero;955;relative;Shymkent_955;42.47432;69.52304;;;;;;;46060.72;2.73;;;;;;980190504.4;8.08;16.15
